OBJECTID,COUNTY_NAME,ROAD_NAME,OWNERSHIP
589634,WASHINGTON,ZITTLESTOWN RD,COUNTY
589809,WASHINGTON,NISWANDER RD,COUNTY
589860,WASHINGTON,BROOKS AVE,COUNTY
589983,WASHINGTON,GARDENWOOD DR,COUNTY
590079,WASHINGTON,MARY FLOWERS WAY,COUNTY
590290,WASHINGTON,BIRCH KNOLL,COUNTY
590401,WASHINGTON,MCDADE RD,COUNTY
590411,WASHINGTON,WESLEY DR,COUNTY
590431,WASHINGTON,SOUTHERN OAK DR,COUNTY
590521,WASHINGTON,EVERLY RD,COUNTY
590804,WASHINGTON,KUHNS RIDGE RD,COUNTY
590839,WASHINGTON,HOLLY TERR CIR E,COUNTY
590882,WASHINGTON,MARTIN ST,COUNTY
590899,WASHINGTON,MONTCLAIR CT,COUNTY
591048,WASHINGTON,BUCKY AVE,COUNTY
591060,WASHINGTON,CIVIC CIR,COUNTY
591110,WASHINGTON,LINWOOD AVE,COUNTY
